fn,lon,lat
patch_522.tif,21.131831742568643,39.436945092472314
patch_1103.tif,22.579127714428445,40.46137620645248
patch_1266.tif,23.58308820240314,38.77607503348253
patch_1336.tif,23.98586718914847,39.59946772719912
patch_1369.tif,24.084243696159945,36.66907938358022
patch_1374.tif,27.529450800612352,35.336281037141845
patch_1575.tif,21.633676356750208,38.72260422634293
patch_1745.tif,25.018190239240926,37.57542181103895
patch_1921.tif,26.443378865359254,35.94025442817152
patch_2108.tif,22.725176716119883,38.36132881462596
patch_2411.tif,25.676295019703836,38.60112197305428
patch_2552.tif,23.761726497375445,36.8410943480963
patch_2697.tif,23.858802054897446,39.864903304231504
patch_2795.tif,22.155808455545607,39.04958753945432
patch_3676.tif,20.21290005947654,38.94975123299662
patch_3941.tif,24.244355610138268,38.6328261389287
patch_3952.tif,22.72648442335689,37.990930582494954
patch_4128.tif,23.915916111139342,39.79769468978369
patch_4301.tif,24.75321878073856,39.87775136454703
patch_4606.tif,25.09499518093496,37.23060685866485
patch_4699.tif,25.31731778943261,35.03217267733214
patch_5867.tif,26.98895201643393,35.2557459071426
patch_6362.tif,25.03077432646403,36.08800825778582
patch_6593.tif,21.980832075478535,39.917445455921154
patch_6597.tif,21.344657332263413,36.77857634367653
patch_6658.tif,20.60751888524992,38.9386788293471
patch_7537.tif,23.095789094049238,37.241442543199284
patch_7566.tif,23.839127243259153,40.30406497543129
patch_8425.tif,21.33786511131567,39.91695707790109
patch_9060.tif,26.056130812055407,38.252615048082504
patch_9500.tif,23.38381581473626,40.591251076145326
patch_9643.tif,25.530901509854147,39.3502543013203
patch_9804.tif,23.34094827504006,39.05028691856941
patch_10156.tif,27.80598143182057,35.71217878930314
patch_10476.tif,23.621103905853758,39.703816980527755
patch_10827.tif,26.44134648065746,36.30618926209571
patch_10911.tif,27.644867216485956,36.3470452866837
patch_11816.tif,24.104140126535338,39.25259020242949
patch_12159.tif,25.659044863512154,34.97529880914305
patch_12644.tif,25.07647715121941,35.62738615114368
patch_12673.tif,27.160097612806364,35.247795670122215
patch_12972.tif,21.40610792013817,38.432169411390944
patch_13171.tif,22.262709305483646,36.04371772568805
patch_13459.tif,27.32863331245962,35.90358849436088
patch_13814.tif,20.61992456629594,37.522225648259806
patch_14852.tif,27.080790371635796,35.41324537924709
patch_15164.tif,24.18228643720921,34.91106412871493
patch_15575.tif,23.651884414965465,38.78635618036006
patch_16109.tif,25.769015972512587,36.646867214631584
patch_17160.tif,23.817924065585807,39.610388794211374
patch_17731.tif,23.83313515242946,41.01545432128313
patch_17799.tif,26.578393976747083,39.218734995514446
patch_17883.tif,27.140328753441963,37.370872300874524
patch_18074.tif,25.187050814563232,36.36676127686124
patch_18237.tif,25.16698942915433,34.63986898899406
patch_18245.tif,25.858310858773265,39.57639120044455
patch_18511.tif,23.817256460845847,39.75431367462095
patch_18551.tif,21.239013101123433,40.42515983515228
patch_18668.tif,22.292310082570296,36.06855455120698
patch_18922.tif,25.836740915466418,38.74196388662296
patch_19247.tif,25.953220152935636,38.08861990597846
patch_19932.tif,20.735145495201476,40.311046894650275
patch_20097.tif,25.55080376368584,37.89797335905099
patch_20420.tif,23.54408400900681,38.53265459360946
